Wavelength (nm),S3Abs,Wavelength (nm),S4Abs,Wavelength (nm),S5Abs,Wavelength (nm),S6Abs,Wavelength (nm),S7Abs,Wavelength (nm),S8Abs,Wavelength (nm),S9Abs,Wavelength (nm),S10Abs,Wavelength (nm),S11Abs,Wavelength (nm),S12Abs,Wavelength (nm),S13Abs,Wavelength (nm),S14Abs,Wavelength (nm),S15Abs,Wavelength (nm),S16Abs,Wavelength (nm),S17Abs,
499.9862976,0.3576230705,499.9862976,0.3446901739,499.9862976,0.3329877257,499.9862976,0.3226316273,499.9862976,0.3184891939,499.9862976,0.3135405481,499.9862976,0.3076818585,499.9862976,0.3015308082,499.9862976,0.2988211811,499.9862976,0.2912300229,499.9862976,0.2864162326,499.9862976,0.2797472477,499.9862976,0.2791730762,499.9862976,0.2707405984,499.9862976,0.2755584121,
498.9242554,0.3632752001,498.9242554,0.3488911092,498.9242554,0.3364415169,498.9242554,0.3265138268,498.9242554,0.3216534257,498.9242554,0.3158536553,498.9242554,0.3096914589,498.9242554,0.3038863838,498.9242554,0.2999431193,498.9242554,0.2921792269,498.9242554,0.2868742943,498.9242554,0.2796512246,498.9242554,0.279150188,498.9242554,0.2728970051,498.9242554,0.2748579383,
498.0137329,0.3683777153,498.0137329,0.3528185487,498.0137329,0.3404572904,498.0137329,0.3295834064,498.0137329,0.324315995,498.0137329,0.3180386722,498.0137329,0.3118795156,498.0137329,0.3053895831,498.0137329,0.3014195263,498.0137329,0.2931872904,498.0137329,0.2872515619,498.0137329,0.2803387642,498.0137329,0.2786428928,498.0137329,0.2743217051,498.0137329,0.2729875743,
496.9512634,0.3721747994,496.9512634,0.3563490808,496.9512634,0.3434746563,496.9512634,0.3324486911,496.9512634,0.3266862631,496.9512634,0.3204142451,496.9512634,0.3127903342,496.9512634,0.306017071,496.9512634,0.3021855652,496.9512634,0.2936973572,496.9512634,0.287720561,496.9512634,0.2798752189,496.9512634,0.2780245543,496.9512634,0.272364527,496.9512634,0.2729243636,
496.0403748,0.3759276569,496.0403748,0.3586195707,496.0403748,0.3455906808,496.0403748,0.3343559802,496.0403748,0.3277125955,496.0403748,0.321054548,496.0403748,0.3142257035,496.0403748,0.3071913123,496.0403748,0.3021171391,496.0403748,0.2940796018,496.0403748,0.2876503766,496.0403748,0.279848665,496.0403748,0.277507484,496.0403748,0.2714760602,496.0403748,0.27139768,
494.9774475,0.3792511523,494.9774475,0.3620216548,494.9774475,0.3478778303,494.9774475,0.3372074068,494.9774475,0.3299211562,494.9774475,0.3221943974,494.9774475,0.3151992559,494.9774475,0.3081487417,494.9774475,0.3030502498,494.9774475,0.2944824696,494.9774475,0.2878550887,494.9774475,0.2793614268,494.9774475,0.2764599025,494.9774475,0.2702313066,494.9774475,0.26987499,
494.0661926,0.3858177364,494.0661926,0.3657009304,494.0661926,0.3512027562,494.0661926,0.3402005732,494.0661926,0.3326272666,494.0661926,0.3245386779,494.0661926,0.3170795143,494.0661926,0.3096632659,494.0661926,0.3035188615,494.0661926,0.2946673036,494.0661926,0.2879719734,494.0661926,0.2795604467,494.0661926,0.2761515677,494.0661926,0.2698687315,494.0661926,0.2688959241,
493.0028381,0.3895398676,493.0028381,0.3689352274,493.0028381,0.3535978794,493.0028381,0.3423649669,493.0028381,0.3346685767,493.0028381,0.3258595467,493.0028381,0.3179761171,493.0028381,0.3104479909,493.0028381,0.3039806485,493.0028381,0.2945447266,493.0028381,0.287563473,493.0028381,0.2786885798,493.0028381,0.2750812769,493.0028381,0.2684907019,493.0028381,0.2665363848,
491.93927,0.3930409551,491.93927,0.371370852,491.93927,0.3566221893,491.93927,0.3442372978,491.93927,0.3360304832,491.93927,0.327478081,491.93927,0.3188009858,491.93927,0.3108486831,491.93927,0.3041732609,491.93927,0.294502914,491.93927,0.2871116996,491.93927,0.2782307863,491.93927,0.2739797235,491.93927,0.2669073939,491.93927,0.265357852,
491.0274353,0.3959635794,491.0274353,0.3731800914,491.0274353,0.3579857349,491.0274353,0.345572561,491.0274353,0.3374315202,491.0274353,0.3283500075,491.0274353,0.3193950951,491.0274353,0.3106080592,491.0274353,0.3042698503,491.0274353,0.2940776348,491.0274353,0.2865004838,491.0274353,0.2768549025,491.0274353,0.2729528546,491.0274353,0.2654111981,491.0274353,0.2643563151,
