Curcumin Nano Particle,,9 micro L,,10 micro L,,20 micro L,,30 micro L,,40 micro L,,50 micro L,,60 micro L,,70 micro L,,80 micro L,,90 micro L,,,,,
271,,321,,321,,321,,271,,321,,321,,321,,321,,321,,321,,,,,
D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,
527.984,38629.5,527.984,39640,527.984,40988.1,527.984,42787.1,527.984,47261,527.984,52844.9,527.984,57383.2,527.984,60724.2,527.984,65839.6,527.984,67423.4,527.984,73179.2,,,,
528.971,39680.8,528.971,41110.7,528.971,40916.6,528.971,41662.5,528.971,46441.2,528.971,53811.3,528.971,58104.6,528.971,60125.7,528.971,64484.5,528.971,69443.8,528.971,71414.4,,,,
529.957,37813.3,529.957,40773.6,529.957,40630.5,529.957,43799.7,529.957,47086.8,529.957,53667.4,529.957,57960.3,529.957,61240.3,529.957,63667.8,529.957,69360.9,529.957,73459.7,,,,
530.944,39078.5,530.944,40559,530.944,41192.4,530.944,44864.1,530.944,47004.8,530.944,53708.5,530.944,57032.9,530.944,62396.9,530.944,64670.7,530.944,70719.3,530.944,74374,,,,
531.93,39497,531.93,42163.4,531.93,40977.9,531.93,43339.3,531.93,46994.6,531.93,53903.9,531.93,58599.4,531.93,62944.4,531.93,65839.6,531.93,70283.6,531.93,74904,,,,
532.916,40426.3,532.916,43410.9,532.916,42091.8,532.916,43370,532.916,48132.4,532.916,53564.5,532.916,57743.9,532.916,61787.5,532.916,65943,532.916,71103.1,532.916,73522,,,,
533.903,39721.6,533.903,41253.7,533.903,42306.5,533.903,45386.2,533.903,48358.1,533.903,54778.3,533.903,59145.8,533.903,62572.5,533.903,66553.7,533.903,71570,533.903,73927.2,,,,
534.889,40548.8,534.889,42306.5,534.889,42275.8,534.889,44976.7,534.889,48183.7,534.889,55148.7,534.889,58558.1,534.889,62427.9,534.889,66936.7,534.889,71113.5,534.889,75475.9,,,,
536.122,41887.4,536.122,40998.3,536.122,42797.3,536.122,44946,536.122,47763.3,536.122,52608.5,536.122,57671.7,536.122,62861.8,536.122,67102.4,536.122,71040.9,536.122,73958.3,,,,
537.109,42061.1,537.109,40722.5,537.109,43431.4,537.109,46164.6,537.109,50215.2,537.109,53235.5,537.109,58692.1,537.109,62696.5,537.109,66512.3,537.109,70252.5,537.109,72981.9,,,,
538.095,42367.8,538.095,41488.8,538.095,43830.4,538.095,45007.4,538.095,48973.5,538.095,53019.6,538.095,58114.9,538.095,64474.2,538.095,66802.1,538.095,70200.7,538.095,72317.4,,,,
539.081,42960.9,539.081,41836.3,539.081,44024.8,539.081,45867.6,539.081,48511.9,539.081,52937.4,539.081,57589.3,539.081,62779.1,539.081,65870.6,539.081,71694.6,539.081,75975,,,,
540.068,42511,540.068,44024.8,540.068,43799.7,540.068,45908.5,540.068,47599.3,540.068,54078.8,540.068,58465.3,540.068,63306.1,540.068,67216.3,540.068,71113.5,540.068,73864.8,,,,
541.054,42163.4,541.054,41396.8,541.054,44342.1,541.054,46123.6,541.054,48552.9,541.054,53173.8,541.054,58176.7,541.054,62706.8,541.054,66098.3,541.054,69091.4,541.054,73168.8,,,,
542.041,40937,542.041,41979.4,542.041,42102,542.041,45806.1,542.041,49301.8,542.041,52043.3,542.041,57939.7,542.041,61529.4,542.041,64350.1,542.041,69516.4,542.041,73709,,,,
543.027,41376.4,543.027,41764.7,543.027,43104.1,543.027,45939.3,543.027,47988.9,543.027,53739.4,543.027,58248.9,543.027,63419.8,543.027,65446.4,543.027,69060.3,543.027,72369.3,,,,
544.013,40599.9,544.013,41243.5,544.013,42429.2,544.013,45806.1,544.013,48727.3,544.013,53831.9,544.013,58516.9,544.013,61674,544.013,63853.9,544.013,69537.1,544.013,72140.9,,,,
545,39752.3,545,41580.7,545,44014.6,545,46349,545,47394.3,545,53369.2,545,57321.4,545,61880.5,545,66357,545,70003.6,545,72763.8,,,,
545.986,41264,545.986,42030.5,545.986,41815.8,545.986,43830.4,545.986,46830.6,545.986,52999.1,545.986,58857.1,545.986,61859.8,545.986,65643,545.986,70262.9,545.986,72774.2,,,,
546.973,40865.5,546.973,41284.4,546.973,43308.7,546.973,44342.1,546.973,47025.3,546.973,51344.7,546.973,58527.2,546.973,61199,546.973,64091.6,546.973,69008.4,546.973,71995.6,,,,
547.959,39731.8,547.959,40865.5,547.959,42142.9,547.959,44731,547.959,47107.3,547.959,52300.1,547.959,55961.9,547.959,61570.7,547.959,64660.3,547.959,68915.2,547.959,71123.9,,,,
548.945,40140.3,548.945,41304.8,548.945,42214.5,548.945,44587.7,548.945,48542.7,548.945,51991.9,548.945,57197.8,548.945,60548.8,548.945,64350.1,548.945,66957.4,548.945,70708.9,,,,
549.932,40160.7,549.932,40702,549.932,41958.9,549.932,44526.3,549.932,47414.8,549.932,50862,549.932,55107.6,549.932,60476.6,549.932,63006.4,549.932,67392.3,549.932,69060.3,,,,
550.918,40589.7,550.918,39599.1,550.918,41386.6,550.918,45232.6,550.918,47722.3,550.918,50625.8,550.918,56518,550.918,60476.6,550.918,62582.8,550.918,65343,550.918,69900,,,,
551.905,39619.5,551.905,40916.6,551.905,41754.5,551.905,44311.3,551.905,45488.6,551.905,50625.8,551.905,56713.6,551.905,59630.6,551.905,64836.1,551.905,65063.7,551.905,67765.1,,,,
552.891,40201.6,552.891,39966.7,552.891,40191.4,552.891,43983.9,552.891,46922.8,552.891,51971.3,552.891,55529.6,552.891,57919,552.891,60167,552.891,66408.8,552.891,69557.8,,,,
553.877,38905,553.877,39885,553.877,39997.3,553.877,44649.1,553.877,47660.8,553.877,49702,553.877,53184.1,553.877,58217.9,553.877,60249.5,553.877,65539.5,553.877,67661.6,,,,
555.11,39578.7,555.11,39966.7,555.11,40099.4,555.11,43349.6,555.11,46420.7,555.11,51724.8,555.11,55859,555.11,60280.5,555.11,61808.2,555.11,66988.5,555.11,67630.5,,,,
